1,Swallowed Penny
2,Petrified Poop
3,AAA Battery
4,Broken Remote
5,Purple Heart
6,Broken Magnet
7,Rosary Bead
8,Cartridge
9,Pulse Worm
10,Wiggle Worm
11,Ring Worm
12,Flat Worm
13,Store Credit
14,Callus
15,Lucky Rock
16,Mom's Toenail
17,Black Lipstick
18,Bible Tract
19,Paper Clip
20,Monkey's Paw
21,Mysterious Paper
22,Daemon's Tail
23,Missing Poster
24,Butt Penny
25,Mysterious Candy
26,Hook Worm
27,Whip Worm
28,Broken Ankh
29,Fish Head
30,Pinky Eye
31,Push Pin
32,Liberty Cap
33,Umbilical Cord
34,Child's Heart
35,Curved Horn
36,Rusted Key
37,Goat Hoof
38,Mom's Pearl
39,Cancer
40,Red Patch
41,Match Stick
42,Lucky Toe
43,Cursed Skull
44,Safety Cap
45,Ace of Spades
46,Isaac's Fork
48,A Missing Page
49,Bloody Penny
50,Burnt Penny
51,Flat Penny
52,Counterfeit Penny
53,Tick
54,Isaac's Head
55,Maggy's Faith
56,Judas' Tongue
57,???'s Soul
58,Samson's Lock
59,Cain's Eye
60,Eve's Bird Foot
61,The Left Hand
62,Shiny Rock
63,Safety Scissors
64,Rainbow Worm
65,Tape Worm
66,Lazy Worm
67,Cracked Dice
68,Super Magnet
69,Faded Polaroid
70,Louse
71,Bob's Bladder
72,Watch Battery
73,Blasting Cap
74,Stud Finder
75,Error
76,Poker Chip
77,Blister
78,Second Hand
79,Endless Nameless
80,Black Feather
81,Blind Rage
82,Golden Horse Shoe
83,Store Key
84,Rib of Greed
85,Karma
86,Lil Larva
87,Mom's Locket
88,NO!
89,Child Leash
90,Brown Cap
91,Meconium
92,Cracked Crown
93,Used Diaper
94,Fish Tail
95,Black Tooth
96,Ouroboros Worm
97,Tonsil
98,Nose Goblin
99,Super Ball
100,Vibrant Bulb
101,Dim Bulb
102,Fragmented Card
103,Equality!
104,Wish Bone
105,Bag Lunch
106,Lost Cork
107,Crow Heart
108,Walnut
109,Duct Tape
110,Silver Dollar
111,Bloody Crown
112,Pay To Win
113,Locust of Wrath
114,Locust of Pestilence
115,Locust of Famine
116,Locust of Death
117,Locust of Conquest
118,Bat Wing
119,Stem Cell
