1,The Sad Onion
2,The Inner Eye
3,Spoon Bender
4,Cricket's Head
5,My Reflection
6,Number One
7,Blood of the Martyr
8,Brother Bobby
9,Skatole
10,Halo of Flies
11,1UP
12,Magic Mushroom
13,The Virus
14,Roid Rage
16,Raw Liver
17,Skeleton Key
18,A Dollar
19,Boom!
20,Transcendence
21,The Compass
22,Lunch
23,Dinner
24,Dessert
25,Breakfast
26,Rotten Meat
27,Wooden Spoon
28,The Belt
29,Mom's Underwear
30,Mom's Heels
31,Mom's Lipstick
32,Wire Coat Hanger
33,The Bible
34,The Book of Belial
35,The Necronomicon
36,The Poop
37,Mr. Boom
38,Tammy's Head
39,Mom's Bra
40,Kamikaze
41,Mom's Pad
42,Bob's Rotten Head
44,Teleport
45,Yum Heart
46,Lucky Foot
47,Doctor's Remote
48,Cupid's Arrow
49,Shoop Da Whoop
50,Steven
51,Pentagram
52,Dr. Fetus
53,Magneto
54,Treasure Map
55,Mom's Eye
56,Lemon Mishap
57,Distant Admiration
58,Book of Shadows
60,The Ladder
62,Charm of the Vampire
63,The Battery
64,Steam Sale
65,Anarchist's Cookbook
66,The Hourglass
67,Sister Maggy
68,Technology
69,Chocolate Milk
70,Growth Hormones
71,Mini Mush
72,Rosary
73,Cube of Meat
74,A Quarter
75,PhD
76,X-Ray Vision
77,My Little Unicorn
78,Book of Revelations
79,The Mark
80,The Pact
81,Dead Cat
82,Lord of the Pit
83,The Nail
84,We Need To Go Deeper
85,Deck of Cards
86,Monstro's Tooth
87,Loki's Horns
88,Little Chubby
89,Spider Bite
90,The Small Rock
91,Spelunker Hat
92,Super Bandage
93,The Gamekid
94,Sack of Pennies
95,Robo-Baby
96,Little C.H.A.D.
97,The Book of Sin
98,The Relic
99,Little Gish
100,Little Steven
101,The Halo
102,Mom's Bottle of Pills
103,The Common Cold
104,The Parasite
105,The D6
106,Mr. Mega
107,Pinking Shears
108,The Wafer
109,Money = Power
110,Mom's Contacts
111,The Bean
112,Guardian Angel
113,Demon Baby
114,Mom's Knife
115,Ouija Board
116,9 Volt
117,Dead Bird
118,Brimstone
119,Blood Bag
120,Odd Mushroom (Thin)
121,Odd Mushroom (Thick)
122,Whore of Babylon
123,Monster Manual
124,Dead Sea Scrolls
125,Bobby - Bomb
126,Razor Blade
127,Forget Me Now
128,Forever Alone
129,Bucket of Lard
130,A Pony
131,Bomb Bag
132,A Lump of Coal
133,Guppy's Paw
134,Guppy's Tail
135,IV Bag
136,Best Friend
137,Remote Detonator
138,Stigmata
139,Mom's Purse
140,Bob's Curse
141,Pageant Boy
142,Scapular
143,Speed Ball
144,Bum Friend
145,Guppy's Head
146,Prayer Card
147,Notched Axe
148,Infestation
149,Ipecac
150,Tough Love
151,The Mulligan
152,Technology 2
153,Mutant Spider
154,Chemical Peel
155,The Peeper
156,Habit
157,Bloody Lust
158,Crystal Ball
159,Spirit of the Night
160,Crack The Sky
161,Ankh
162,Celtic Cross
163,Ghost Baby
164,The Candle
165,Cat-O-Nine-Tails
166,D20
167,Harlequin Baby
168,Epic Fetus
169,Polyphemus
170,Daddy Longlegs
171,Spider Butt
172,Sacrificial Dagger
173,Mitre
174,Rainbow Baby
175,Dad's Key
176,Stem Cells
177,Portable Slot
178,Holy Water
179,Fate
180,The Black Bean
181,White Pony
182,Sacred Heart
183,Toothpicks
184,Holy Grail
185,Dead Dove
186,Blood Rights
187,Guppy's Hairball
188,Abel
